"","Type","Flora","Batch"
"205","HM20","S",13.5
"206","HM20","S",13.5
"208","HM20","S",13.5
"209","HM20","S",13.5
"210","HM20","S",13.5
"211","HM20","S",13.5
"271","HM20","S",14
"272","HM20","S",14
"273","HM20","S",14
"274","HM20","S",14
"275","HM20","S",14
"276","HM20","S",14
"277","HM20","S",14
"278","HM20","S",14
"279","HM20","S",14
"280","HM20","S",14
"281","HM20","S",14
"282","HM20","S",14
"283","HM20","S",14
"284","HM20","S",14
"285","HM20","S",14
"286","HM20","S",14
"287","HM20","S",14
"288","HM20","S",14
"289","HM20","S",14
"290","HM20","S",14
"291","HM20","S",14
"292","HM20","S",14
"293","HM20","S",14
"294","HM20","S",14
"295","HM20","S",14
"296","HM20","S",14
"298","HM20","S",14
"299","HM20","S",14
"300","HM20","S",14
"301","HM20","S",14
"302","HM20","S",14
"303","HM20","S",14
"249","HM20","S",14.5
"250","HM20","S",14.5
"251","HM20","S",14.5
"252","HM20","S",14.5
"253","HM20","S",14.5
"254","HM20","S",14.5
"255","HM20","S",14.5
"256","HM20","S",14.5
"257","HM20","S",14.5
"258","HM20","S",14.5
"259","HM20","S",14.5
"260","HM20","S",14.5
"261","HM20","S",14.5
"263","HM20","S",14.5
"264","HM20","S",14.5
"265","HM20","S",14.5
"266","HM20","S",14.5
"267","HM20","S",14.5
"268","HM20","S",14.5
"269","HM20","S",14.5
"270","HM20","S",14.5
"327","HM20","S",15
"328","HM20","S",15
"329","HM20","S",15
"330","HM20","S",15
"331","HM20","S",15
"332","HM20","S",15
"333","HM20","S",15
"334","HM20","S",15
"335","HM20","S",15
"336","HM20","S",15
"337","HM20","S",15
"338","HM20","S",15
"339","HM20","S",15
"340","HM20","S",15
"341","HM20","S",15
"342","HM20","S",15
"343","HM20","S",15
"344","HM20","S",15
"345","HM20","S",15
"346","HM20","S",15
"347","HM20","S",15
"304","HM20","S",15.5
"305","HM20","S",15.5
"306","HM20","S",15.5
"307","HM20","S",15.5
"308","HM20","S",15.5
"309","HM20","S",15.5
"310","HM20","S",15.5
"311","HM20","S",15.5
"312","HM20","S",15.5
"313","HM20","S",15.5
"314","HM20","S",15.5
"315","HM20","S",15.5
"316","HM20","S",15.5
"317","HM20","S",15.5
"318","HM20","S",15.5
"321","HM20","S",15.5
"322","HM20","S",15.5
"323","HM20","S",15.5
"324","HM20","S",15.5
"325","HM20","S",15.5
"326","HM20","S",15.5
"348","HM20","S",16
"349","HM20","S",16
"350","HM20","S",16
"351","HM20","S",16
"352","HM20","S",16
"353","HM20","S",16
"354","HM20","S",16
"355","HM20","S",16
"356","HM20","S",16
"357","HM20","S",16
"359","HM20","S",16
"360","HM20","S",16
"361","HM20","S",16
"362","HM20","S",16
"363","HM20","S",16
"364","HM20","S",16
"365","HM20","S",16
"366","HM20","S",16
"367","HM20","S",16
"368","HM20","S",16
"369","HM20","S",16
"370","HM20","S",16
"371","HM20","S",16
"372","HM20","S",16
"373","HM20","S",16
"374","HM20","S",16
"375","HM20","S",16
"376","HM20","S",16
"377","HM20","S",16
"378","HM20","S",16
"379","HM20","S",16
"1157","HM20","S",1
"395","HM20","S",1
"5100","HM20","S",1
"6100","HM20","S",1
"712","HM20","S",1
"814","HM20","S",1
"995","HM20","S",1
"11100","HM20","S",1
"1223","HM20","S",1
"1315","HM20","S",1
"1483","HM20","S",1
"15100","HM20","S",1
"1614","HM20","S",1
"1711","HM20","S",1
"1846","HM20","S",1
"19100","HM20","S",1
"2037","HM20","S",1
"1929","HM20","S",2
"1930","HM20","S",2
"1931","HM20","S",2
"1932","HM20","S",2
"1933","HM20","S",2
"1934","HM20","S",2
"1935","HM20","S",2
"1936","HM20","S",2
"1937","HM20","S",2
"1938","HM20","S",2
"1939","HM20","S",2
"1940","HM20","S",2
"1941","HM20","S",2
"1942","HM20","S",2
"1943","HM20","S",2
"1944","HM20","S",2
"1945","HM20","S",2
"1946","HM20","S",2
"1947","HM20","S",2
