"","Type","Flora","Batch"
"139","HM20","C",11
"140","HM20","C",11
"141","HM20","C",11
"142","HM20","C",11
"143","HM20","C",11
"144","HM20","C",11
"145","HM20","C",11
"146","HM20","C",11
"147","HM20","C",11
"148","HM20","C",11
"149","HM20","C",11
"150","HM20","C",11
"151","HM20","C",11
"152","HM20","C",11
"109","HM20","C",11.5
"110","HM20","C",11.5
"111","HM20","C",11.5
"112","HM20","C",11.5
"113","HM20","C",11.5
"114","HM20","C",11.5
"115","HM20","C",11.5
"116","HM20","C",11.5
"117","HM20","C",11.5
"118","HM20","C",11.5
"119","HM20","C",11.5
"120","HM20","C",11.5
"121","HM20","C",11.5
"122","HM20","C",11.5
"123","HM20","C",11.5
"124","HM20","C",11.5
"125","HM20","C",11.5
"126","HM20","C",11.5
"127","HM20","C",11.5
"128","HM20","C",11.5
"129","HM20","C",11.5
"130","HM20","C",11.5
"175","HM20","C",12
"176","HM20","C",12
"177","HM20","C",12
"178","HM20","C",12
"179","HM20","C",12
"180","HM20","C",12
"181","HM20","C",12
"182","HM20","C",12
"183","HM20","C",12
"184","HM20","C",12
"185","HM20","C",12
"186","HM20","C",12
"187","HM20","C",12
"188","HM20","C",12
"189","HM20","C",12
"190","HM20","C",12
"191","HM20","C",12
"192","HM20","C",12
"193","HM20","C",12
"194","HM20","C",12
"195","HM20","C",12
"196","HM20","C",12
"197","HM20","C",12
"198","HM20","C",12
"199","HM20","C",12
"153","HM20","C",12.5
"154","HM20","C",12.5
"155","HM20","C",12.5
"156","HM20","C",12.5
"157","HM20","C",12.5
"158","HM20","C",12.5
"160","HM20","C",12.5
"161","HM20","C",12.5
"162","HM20","C",12.5
"163","HM20","C",12.5
"164","HM20","C",12.5
"165","HM20","C",12.5
"166","HM20","C",12.5
"167","HM20","C",12.5
"168","HM20","C",12.5
"169","HM20","C",12.5
"170","HM20","C",12.5
"171","HM20","C",12.5
"172","HM20","C",12.5
"173","HM20","C",12.5
"174","HM20","C",12.5
"222","HM20","C",13
"223","HM20","C",13
"224","HM20","C",13
"225","HM20","C",13
"226","HM20","C",13
"227","HM20","C",13
"228","HM20","C",13
"229","HM20","C",13
"230","HM20","C",13
"231","HM20","C",13
"232","HM20","C",13
"233","HM20","C",13
"234","HM20","C",13
"235","HM20","C",13
"236","HM20","C",13
"237","HM20","C",13
"238","HM20","C",13
"239","HM20","C",13
"240","HM20","C",13
"241","HM20","C",13
"242","HM20","C",13
"243","HM20","C",13
"244","HM20","C",13
"245","HM20","C",13
"246","HM20","C",13
"247","HM20","C",13
"248","HM20","C",13
"249","HM20","C",13
"250","HM20","C",13
"251","HM20","C",13
"200","HM20","C",13.5
"201","HM20","C",13.5
"202","HM20","C",13.5
"204","HM20","C",13.5
"205","HM20","C",13.5
"206","HM20","C",13.5
