"","Type","Flora","Batch"
"108","HM20","A",11.5
"109","HM20","A",12.5
"110","HM20","A",12.5
"111","HM20","A",12.5
"112","HM20","A",12.5
"113","HM20","A",12.5
"114","HM20","A",12.5
"115","HM20","A",12.5
"117","HM20","A",12.5
"118","HM20","A",12.5
"119","HM20","A",12.5
"120","HM20","A",12.5
"121","HM20","A",12.5
"122","HM20","A",12.5
"123","HM20","A",12.5
"124","HM20","A",12.5
"125","HM20","A",12.5
"141","HM20","A",13
"142","HM20","A",13
"143","HM20","A",13
"126","HM20","A",13.5
"127","HM20","A",13.5
"128","HM20","A",13.5
"129","HM20","A",13.5
"130","HM20","A",13.5
"131","HM20","A",13.5
"132","HM20","A",13.5
"133","HM20","A",13.5
"134","HM20","A",13.5
"135","HM20","A",13.5
"136","HM20","A",13.5
"137","HM20","A",13.5
"138","HM20","A",13.5
"139","HM20","A",13.5
"140","HM20","A",13.5
"161","HM20","A",14
"162","HM20","A",14
"163","HM20","A",14
"164","HM20","A",14
"165","HM20","A",14
"166","HM20","A",14
"167","HM20","A",14
"168","HM20","A",14
"145","HM20","A",14.5
"146","HM20","A",14.5
"147","HM20","A",14.5
"148","HM20","A",14.5
"149","HM20","A",14.5
"150","HM20","A",14.5
"151","HM20","A",14.5
"152","HM20","A",14.5
"153","HM20","A",14.5
"154","HM20","A",14.5
"155","HM20","A",14.5
"156","HM20","A",14.5
"157","HM20","A",14.5
"158","HM20","A",14.5
"159","HM20","A",14.5
"160","HM20","A",14.5
"169","HM20","A",15.5
"170","HM20","A",15.5
"171","HM20","A",15.5
"172","HM20","A",15.5
"173","HM20","A",15.5
"174","HM20","A",15.5
"175","HM20","A",15.5
"176","HM20","A",15.5
"177","HM20","A",15.5
"178","HM20","A",15.5
"179","HM20","A",15.5
"180","HM20","A",15.5
"181","HM20","A",15.5
"182","HM20","A",15.5
"183","HM20","A",15.5
"184","HM20","A",16
"185","HM20","A",16
"11","HM20","A",1
"219","HM20","A",1
"3100","HM20","A",1
"493","HM20","A",1
"539","HM20","A",1
"712","HM20","A",1
"845","HM20","A",1
"925","HM20","A",1
"1221","HM20","A",1
"1315","HM20","A",1
"1422","HM20","A",1
"1665","HM20","A",1
"1734","HM20","A",1
"1866","HM20","A",1
"196","HM20","A",1
"2024","HM20","A",1
"1259","HM20","A",2
"1260","HM20","A",2
"1261","HM20","A",2
"1262","HM20","A",2
"1263","HM20","A",2
"1264","HM20","A",2
"1265","HM20","A",2
"1266","HM20","A",2
"1267","HM20","A",2
"1268","HM20","A",2
"1269","HM20","A",2
"1270","HM20","A",2
"1271","HM20","A",2
"1272","HM20","A",2
"1273","HM20","A",2
"1274","HM20","A",2
"1275","HM20","A",2
"1276","HM20","A",2
"1277","HM20","A",2
"1278","HM20","A",2
"1404","HM20","A",3
"1405","HM20","A",3
"1406","HM20","A",3
"1407","HM20","A",3
"1408","HM20","A",3
"1409","HM20","A",3
"1410","HM20","A",3
"1411","HM20","A",3
"1412","HM20","A",3
"1413","HM20","A",3
"1414","HM20","A",3
"1415","HM20","A",3
"1416","HM20","A",3
"1417","HM20","A",3
"1418","HM20","A",3
"1419","HM20","A",3
"1420","HM20","A",3
"1421","HM20","A",3
"1423","HM20","A",3
"1663","HM20","A",4
"1664","HM20","A",4
"1666","HM20","A",4
"1667","HM20","A",4
"1668","HM20","A",4
"1669","HM20","A",4
"1670","HM20","A",4
"1671","HM20","A",4
"1672","HM20","A",4
"1673","HM20","A",4
"1675","HM20","A",4
"1676","HM20","A",4
"1677","HM20","A",4
"1678","HM20","A",4
"1679","HM20","A",4
"1680","HM20","A",4
"1681","HM20","A",4
"1682","HM20","A",4
"1683","HM20","A",4
"1932","HM20","A",5
"1933","HM20","A",5
"1934","HM20","A",5
"1935","HM20","A",5
"1936","HM20","A",5
"1937","HM20","A",5
"1938","HM20","A",5
"1939","HM20","A",5
"1940","HM20","A",5
"1941","HM20","A",5
"1942","HM20","A",5
"1943","HM20","A",5
"1944","HM20","A",5
"1945","HM20","A",5
"1946","HM20","A",5
"1947","HM20","A",5
"1948","HM20","A",5
"1949","HM20","A",5
"1951","HM20","A",5
"2191","HM20","A",6
"2192","HM20","A",6
"2194","HM20","A",6
"2195","HM20","A",6
"2197","HM20","A",6
"2198","HM20","A",6
"2199","HM20","A",6
"2201","HM20","A",6
"2202","HM20","A",6
"2387","HM20","A",7
"2388","HM20","A",7
"2389","HM20","A",7
"2540","HM20","A",8
"2541","HM20","A",8
"2542","HM20","A",8
"2543","HM20","A",8
"2544","HM20","A",8
"2545","HM20","A",8
"2546","HM20","A",8
"2547","HM20","A",8
"2548","HM20","A",8
"2549","HM20","A",8
"2710","HM20","A",9
"2711","HM20","A",9
"2712","HM20","A",9
"2713","HM20","A",9
"3831","HM20","A",13
"3841","HM20","A",13
"385","HM20","A",13
"3861","HM20","A",13
"543","HM20","A",14
"544","HM20","A",14
"545","HM20","A",14
"546","HM20","A",14
"547","HM20","A",14
"548","HM20","A",14
"550","HM20","A",14
"843","HM20","A",16
"844","HM20","A",16
"1064","HM20","A",17
"1280","HM20","A",20
"1282","HM20","A",21
"1283","HM20","A",21
"1284","HM20","A",21
"1285","HM20","A",21
"1286","HM20","A",21
"1287","HM20","A",21
"1288","HM20","A",21
"1289","HM20","A",21
"1290","HM20","A",21
"1292","HM20","A",22
"1293","HM20","A",22
"1294","HM20","A",22
"1295","HM20","A",22
"1300","HM20","A",22
"1301","HM20","A",22
"1302","HM20","A",22
"1303","HM20","A",22
"1305","HM20","A",23
"1306","HM20","A",23
"1307","HM20","A",23
"1308","HM20","A",23
"1309","HM20","A",23
"1310","HM20","A",23
"1311","HM20","A",23
"1312","HM20","A",23
"1313","HM20","A",23
"1314","HM20","A",23
"1316","HM20","A",24
"1317","HM20","A",24
"1318","HM20","A",24
"1319","HM20","A",24
"1321","HM20","A",24
"1322","HM20","A",24
"1323","HM20","A",24
"1324","HM20","A",24
"1325","HM20","A",24
"1326","HM20","A",24
"1327","HM20","A",24
"1328","HM20","A",24
"1329","HM20","A",24
"1330","HM20","A",24
"1331","HM20","A",24
"1332","HM20","A",24
"1333","HM20","A",24
"1334","HM20","A",24
"1335","HM20","A",24
"1336","HM20","A",25
"1337","HM20","A",25
"1338","HM20","A",25
"1339","HM20","A",25
"1340","HM20","A",25
"1341","HM20","A",25
"1342","HM20","A",25
"1343","HM20","A",26
"1344","HM20","A",26
"1345","HM20","A",26
"1346","HM20","A",26
"1347","HM20","A",26
"1350","HM20","A",26
"1351","HM20","A",26
"1352","HM20","A",26
"1353","HM20","A",26
"1354","HM20","A",26
"1355","HM20","A",26
"1356","HM20","A",26
"1357","HM20","A",26
"1358","HM20","A",26
"1359","HM20","A",26
"1362","HM20","A",27
"1363","HM20","A",27
"1364","HM20","A",27
"1365","HM20","A",27
"1367","HM20","A",27
"1368","HM20","A",27
"1369","HM20","A",27
"1370","HM20","A",27
"1371","HM20","A",27
"1372","HM20","A",27
"1373","HM20","A",27
"1374","HM20","A",27
"1375","HM20","A",27
"1376","HM20","A",27
"1377","HM20","A",27
"1378","HM20","A",28
"1379","HM20","A",28
"1381","HM20","A",28
"1383","HM20","A",28
"1385","HM20","A",28
"1386","HM20","A",28
"1387","HM20","A",28
"1388","HM20","A",28
"1389","HM20","A",28
"1390","HM20","A",28
"1391","HM20","A",28
"1392","HM20","A",28
"1393","HM20","A",28
"1394","HM20","A",28
"1395","HM20","A",28
"1396","HM20","A",28
"1397","HM20","A",29
