age_calBP,WTD
4341.2,19.87
4344,8.19
4344.4,6.33
4348.7,7.88
4355.95,10.86
4356.3,8.59
4357.95,8.11
4368.3,9.46
4371.6,15.84
4371.9,7.65
4380.1,8.8
4384.7,16.29
4386.4,14.49
4387.05,8.33
4392,8.76
4401.55,10.59
4402.6,7.8
4403.8,8.26
4416.1,15.14
4418.4,8.28
4420,10.5
4434.9,6.87
4440.8,9.23
4451.15,7.9
4461.6,7.81
4468.9,8
4484.3,14.53
4487.25,8.33
4502,8.14
4504.3,7.99
4517.95,8.46
4531.65,8.32
4542.4,7.19
4544.1,8.52
4570,9.24
4578.7,8.67
4582.1,7.68
4609.65,8.85
4621.3,9.02
4649.75,7.8
4660.7,8.28
4674,10.49
4690,8.5
4698.2,6.69
4730.9,8.56
4736,7.03
4769.8,14.51
4770.9,7.75
4772.15,10.03
4803.4,9.15
4835.8,8.3
4866.6,22.81
4868.8,8.01
4901.7,7.36
4934.8,7.71
4966.8,12.92
4968,6.74
5001.2,6.56
