Median,depth,L95,U95
2237,241.5,2095,2347
2241,242,2102,2352
2246,242.5,2108,2356
2250,243,2113,2361
2255,243.5,2114,2367
2259,244,2118,2374
2264,244.5,2122,2382
2268,245,2127,2389
2272,245.5,2130,2397
2277,246,2132,2406
2281,246.5,2135,2414
2285,247,2138,2424
2290,247.5,2140,2432
2294,248,2143,2443
2299,248.5,2144,2453
2303,249,2146,2463
2307,249.5,2148,2472
2311,250,2149,2483
2316,250.5,2153,2486
2321,251,2157,2489
2326,251.5,2163,2493
2331,252,2168,2496
2336,252.5,2173,2499
2341,253,2177,2504
2346,253.5,2182,2509
2350,254,2186,2512
2355,254.5,2190,2517
2360,255,2193,2520
2365,255.5,2197,2524
2369,256,2200,2529
2374,256.5,2205,2535
2379,257,2208,2542
2384,257.5,2209,2549
2388,258,2213,2556
2393,258.5,2216,2562
2398,259,2219,2569
2401,259.5,2222,2579
2406,260,2224,2587
2410,260.5,2230,2590
2415,261,2237,2593
2421,261.5,2243,2596
2426,262,2251,2598
2431,262.5,2258,2602
2436,263,2262,2604
2441,263.5,2268,2607
2446,264,2273,2611
2452,264.5,2276,2615
2457,265,2281,2619
2462,265.5,2286,2621
2467,266,2290,2624
2473,266.5,2293,2629
2477,267,2297,2634
2484,267.5,2300,2638
2489,268,2303,2644
2494,268.5,2305,2648
2499,269,2308,2655
2504,269.5,2311,2662
2508,270,2313,2670
2513,270.5,2324,2672
2518,271,2330,2673
2522,271.5,2337,2675
2528,272,2347,2676
2532,272.5,2355,2678
2537,273,2363,2679
2543,273.5,2370,2681
2548,274,2377,2684
2552,274.5,2383,2686
2558,275,2390,2688
2563,275.5,2393,2691
2568,276,2397,2693
2573,276.5,2402,2696
2578,277,2407,2699
2583,277.5,2411,2703
2589,278,2414,2707
2593,278.5,2417,2712
2598,279,2419,2718
2603,279.5,2422,2724
2608,280,2425,2732
2613,280.5,2430,2737
2618,281,2438,2742
2624,281.5,2446,2748
2628,282,2455,2754
2634,282.5,2462,2760
2639,283,2468,2767
2644,283.5,2473,2774
2650,284,2478,2781
2655,284.5,2484,2790
2661,285,2487,2797
2666,285.5,2491,2807
2672,286,2494,2817
2677,286.5,2498,2829
2682,287,2501,2839
2687,287.5,2505,2849
2693,288,2509,2860
2698,288.5,2511,2873
2703,289,2513,2884
2708,289.5,2515,2895
2712,290,2516,2908
2718,290.5,2525,2912
2722,291,2534,2914
2727,291.5,2541,2919
2732,292,2548,2923
2737,292.5,2555,2926
2742,293,2561,2932
2748,293.5,2566,2935
2753,294,2569,2937
2759,294.5,2573,2942
2766,295,2579,2948
2771,295.5,2582,2952
2777,296,2586,2959
2783,296.5,2590,2966
2788,297,2593,2972
2793,297.5,2596,2977
2798,298,2601,2988
2803,298.5,2605,2996
2808,299,2609,3004
2814,299.5,2612,3014
2819,300,2615,3024
2823,300.5,2624,3028
2828,301,2632,3030
2833,301.5,2641,3031
2838,302,2649,3034
2843,302.5,2658,3035
2849,303,2664,3038
2853,303.5,2672,3041
2859,304,2678,3045
2864,304.5,2683,3048
2870,305,2688,3051
2875,305.5,2692,3055
2881,306,2695,3059
2886,306.5,2700,3064
2893,307,2706,3070
2898,307.5,2708,3076
2903,308,2713,3081
2908,308.5,2718,3088
2914,309,2722,3095
2919,309.5,2725,3100
2923,310,2729,3108
2928,310.5,2743,3109
2933,311,2756,3111
2939,311.5,2766,3113
2944,312,2778,3117
2949,312.5,2789,3120
2954,313,2800,3124
2960,313.5,2812,3127
2965,314,2824,3129
2970,314.5,2834,3132
2975,315,2842,3136
2981,315.5,2848,3139
2987,316,2856,3143
2993,316.5,2861,3146
2999,317,2866,3150
3006,317.5,2871,3154
3012,318,2876,3158
3018,318.5,2880,3162
3023,319,2885,3168
3028,319.5,2889,3176
3034,320,2894,3186
3043,320.5,2903,3195
3052,321,2912,3206
3061,321.5,2918,3216
3069,322,2927,3227
3079,322.5,2932,3238
3088,323,2939,3249
3095,323.5,2946,3261
3104,324,2951,3272
3113,324.5,2955,3286
3122,325,2957,3302
3131,325.5,2962,3317
3140,326,2966,3333
3149,326.5,2969,3350
3156,327,2972,3365
3165,327.5,2975,3380
3173,328,2979,3399
3181,328.5,2982,3417
3190,329,2985,3435
3197,329.5,2987,3452
3205,330,2990,3471
3214,330.5,3004,3476
3223,331,3019,3481
3234,331.5,3031,3487
3245,332,3043,3492
3255,332.5,3053,3495
3265,333,3061,3506
3276,333.5,3070,3514
3286,334,3077,3520
3296,334.5,3085,3529
3307,335,3091,3538
3318,335.5,3097,3545
3328,336,3101,3558
3339,336.5,3105,3570
3349,337,3110,3581
3360,337.5,3115,3593
3370,338,3121,3605
3379,338.5,3127,3619
3388,339,3133,3632
3398,339.5,3137,3648
3408,340,3141,3668
3418,340.5,3161,3673
3426,341,3183,3678
3435,341.5,3202,3682
3445,342,3219,3687
3454,342.5,3241,3694
3462,343,3260,3698
3471,343.5,3277,3705
3479,344,3296,3713
3488,344.5,3314,3719
3497,345,3332,3725
3507,345.5,3349,3734
3516,346,3365,3741
3525,346.5,3380,3749
3534,347,3395,3756
3544,347.5,3409,3763
3554,348,3421,3771
3565,348.5,3434,3781
3576,349,3444,3790
3587,349.5,3454,3798
3596,350,3463,3811
3679,350.5,3544,3884
3761,351,3617,3961
3845,351.5,3687,4038
3930,352,3760,4115
4015,352.5,3827,4192
4100,353,3896,4270
4186,353.5,3963,4348
4272,354,4022,4427
4358,354.5,4082,4505
4445,355,4134,4585
4531,355.5,4195,4669
4618,356,4249,4753
4705,356.5,4314,4835
4792,357,4375,4921
4878,357.5,4428,5007
4964,358,4482,5095
5050,358.5,4537,5183
5135,359,4591,5269
5221,359.5,4646,5361
5305,360,4700,5450
5316,360.5,4723,5458
5327,361,4746,5463
5340,361.5,4768,5470
5352,362,4791,5478
5365,362.5,4814,5504
5379,363,4836,5532
5390,363.5,4855,5557
5400,364,4861,5579
5410,364.5,4878,5604
5420,365,4883,5634
5428,365.5,4888,5663
5437,366,4889,5699
5445,366.5,4894,5730
5454,367,4895,5763
5463,367.5,4901,5800
5470,368,4907,5833
5478,368.5,4908,5870
5487,369,4910,5907
5494,369.5,4922,5943
5503,370,4926,5985
