BP,SU
660,-1.13
661,-1
662,-1.33
663,-1.23
664,-1.04
665,-1.24
666,-1.29
667,-1.18
668,-1.06
669,-1.17
670,-1.29
671,-1
672,-1.15
673,-1.23
674,-1.15
675,-1.13
676,-1.27
677,-1.4
678,-1.42
679,-1.35
680,-1.26
681,-1.37
682,-1.23
683,-1.26
684,-1.36
685,-1.33
686,-1.19
687,-1.23
688,-1.31
689,-1.29
690,-1.38
691,-1.23
692,-1.16
693,-1.18
694,-1.15
695,-1.23
696,-1.16
697,-1.22
698,-1.31
699,-1.35
700,-1.33
701,-1.24
702,-1.33
703,-1.38
704,-1.37
705,-1.48
706,-1.48
707,-1.31
708,-1.14
709,-0.99
710,-1.09
711,-1.07
712,-1.06
713,-1.17
714,-1.01
715,-1.02
716,-0.97
717,-0.85
718,-0.86
719,-0.86
720,-0.72
721,-0.53
722,-0.85
723,-1.06
724,-1.09
725,-0.84
726,-1
727,-1
728,-0.93
729,-1.22
730,-1.09
731,-1.08
732,-1.2
733,-1.04
734,-1.09
735,-1.06
736,-1.08
737,-1.31
738,-1.35
739,-1.14
740,-0.94
741,-1.11
742,-1.05
743,-1.01
744,-1.13
745,-1.03
746,-1.16
747,-1.09
748,-1
749,-0.95
750,-1.15
751,-1.15
752,-1.14
753,-1.12
754,-1.08
755,-1.19
756,-1.11
757,-1.24
758,-1.27
759,-1.19
760,-1.15
761,-1.16
762,-1.24
763,-1.13
764,-1.14
765,-1.29
766,-1.08
767,-1
768,-1.14
769,-0.94
770,-1.22
771,-1.26
772,-1.06
773,-1.06
774,-1.03
775,-1.15
776,-1.19
777,-1.16
778,-1.1
779,-1.05
780,-0.84
781,-0.98
782,-1.03
783,-0.98
784,-1.08
785,-0.97
786,-0.93
787,-1
788,-0.78
789,-0.87
790,-1.04
791,-1.01
792,-0.86
793,-0.5
794,-0.98
795,-0.92
796,-0.75
797,-0.73
798,-0.89
799,-0.87
800,-0.9
801,-0.78
802,-1.08
803,-0.87
804,-0.82
805,-1.04
806,-0.81
807,-0.9
808,-1.1
809,-1.21
810,-0.91
811,-0.87
812,-0.82
813,-0.87
814,-0.82
815,-0.99
816,-0.78
817,-0.59
818,-0.74
819,-0.81
820,-0.71
821,-0.59
822,-0.63
823,-0.69
824,-0.64
825,-0.76
826,-0.8
827,-0.77
828,-0.61
829,-0.27
830,-0.4
831,-0.69
832,-0.71
833,-0.83
834,-0.91
835,-0.66
836,-0.69
837,-0.59
838,-0.7
839,-0.69
840,-0.16
841,-0.38
842,-0.24
843,-0.28
844,-0.37
845,-0.58
846,-0.78
847,-0.62
848,-0.65
849,-0.75
850,-0.29
851,-0.6
852,-0.5
853,-0.71
854,-0.58
855,-0.49
856,-0.73
857,-0.69
858,-0.68
859,-0.87
860,-0.86
861,-0.66
862,-0.54
863,-0.55
864,-0.5
865,-0.37
866,-0.35
867,-0.57
868,-0.07
869,-0.27
870,0.27
871,-0.44
872,0.12
873,0.05
874,0.79
875,0.28
876,0.56
877,-0.38
878,-0.31
879,-0.3
880,-0.34
881,0.07
882,-0.27
883,-0.02
884,-0.23
885,-0.39
886,-0.45
887,-0.16
888,-0.2
889,-0.63
890,-0.38
891,0.05
892,0.01
893,0.01
894,-0.22
895,-0.13
896,-0.03
897,0.29
898,0.15
899,0.38
900,-0.24
901,0.23
902,0.1
903,-0.05
904,0.36
905,0.46
906,0.03
907,-0.54
908,0.34
909,0.17
910,0.06
911,0.38
912,-0.05
913,0.14
914,-0.41
915,0.53
916,0.11
917,-0.19
918,-0.07
919,-0.04
920,-0.76
921,-0.71
922,-0.72
923,-0.6
924,-0.73
925,-0.65
926,-0.59
927,-0.94
928,-0.95
929,-0.84
930,-1.09
931,-0.8
