BP,SU
1916,-0.33
1917,-0.23
1918,-0.08
1919,-0.33
1920,-0.75
1921,-0.62
1922,-0.09
1923,-0.91
1924,-0.03
1925,-0.16
1926,-0.35
1927,-0.25
1928,-0.08
1929,-0.38
1930,-0.28
1931,-0.12
1932,-0.42
1933,-0.15
1934,-0.16
1935,-0.43
1936,-0.35
1937,-0.01
1938,-0.13
1939,0.4
1940,0.24
1941,0.02
1942,0.07
1943,0.47
1944,0.33
1945,0.23
1946,0.16
1947,-0.22
1948,-0.08
1949,-0.17
1950,-0.23
1951,0.01
1952,-0.05
1953,-0.1
1954,-0.23
1955,-0.49
1956,-0.17
1957,-0.38
1958,-0.7
1959,-0.56
1960,-0.54
1961,-0.4
1962,-0.37
1963,-0.5
1964,-0.3
1965,0
1966,0.03
1967,-0.12
1968,-0.06
1969,-0.27
1970,-0.14
1971,-0.31
1972,-0.09
1973,0.44
1974,0.42
1975,0.47
1976,0.35
1977,0.59
1978,0.19
1979,0.11
1980,0.44
1981,0.03
1982,0.16
1983,0.36
1984,-0.02
1985,0.18
1986,0.46
1987,0.12
1988,0.14
1989,0.12
1990,0.17
1991,0.73
1992,0.04
1993,0.09
1994,0.56
1995,0.48
1996,0.34
1997,0.61
1998,0.03
1999,0.73
2000,0.95
2001,1.27
2002,0.84
2003,0.62
2004,0.36
2005,0.56
2006,0.41
2007,0.41
2008,0.29
2009,0.43
2010,0.55
2011,0.55
2012,0.72
2013,0.78
2014,1.01
2015,0.5
2016,0.54
2017,0.34
2018,0.62
2019,0.57
2020,-0.09
2021,0.39
2022,-0.37
2023,0.61
2024,0.5
2025,0.28
2026,0.04
2027,0.57
2028,0.94
2029,0.71
2030,0.58
2031,0.64
2032,0.64
2033,0.15
2034,0.44
2035,0.15
2036,0.56
2037,0.79
2038,0.96
2039,0.73
2040,0.39
2041,0.6
2042,1.19
2043,1.16
2044,1.59
2045,1.53
2046,1.5
2047,1.58
2048,1.56
2049,1.37
2050,1.17
2051,0.76
2052,1
2053,0.29
2054,1.05
2055,0.71
2056,0.49
2057,0.23
2058,0.41
2059,0.61
2060,1.25
2061,0.97
2062,2.32
2063,2.52
2064,2.4
2065,0.73
2066,0.17
2067,-0.08
2068,2.85
2069,1.75
2070,0.88
2071,0.06
2072,1.97
2073,0.44
2074,-0.05
2075,-0.16
2076,0.25
2077,0.39
2078,-0.13
2079,-0.19
2080,0.14
2081,-0.38
2082,-0.11
2083,-0.19
2084,-0.13
2085,0.63
2086,-0.27
2087,0.28
2088,0.85
2089,0.2
2090,0.26
2091,0.11
2092,0.28
2093,-0.08
2094,-0.22
2095,0.34
2096,-0.3
2097,0.23
2098,0.77
2099,0.34
2100,0.11
2101,-0.11
2102,0.36
2103,-0.46
2104,0.17
2105,0.14
2106,0.93
2107,0.61
2108,0.5
2109,-0.08
2110,-0.1
2111,0
2112,0.17
2113,0.17
2114,0.09
2115,1.32
2116,1.04
2117,0.69
2118,0.69
2119,-0.35
2120,0.42
2121,-0.43
2122,-0.1
2123,0.31
2124,-0.05
2125,0.52
2126,0.39
2127,0.42
2128,0.69
2129,0.74
2130,-0.11
2131,0.31
2132,0.2
2133,0.14
2134,-0.08
2135,0.93
2136,0.22
2137,0.64
2138,0.28
2139,0.11
2140,0.32
2141,0.14
2142,0.11
2143,-0.09
2144,0.21
2145,0.06
2146,0.43
2147,0.37
2148,0.84
2149,0.47
2150,0.77
2151,0.69
2152,-0.19
2153,0.2
2154,0.36
2155,-0.13
2156,0.25
2157,-0.62
2158,0.61
2159,0.5
2160,1.07
2161,0.93
2162,0.47
2163,0.96
2164,1.07
2165,0.93
2166,1.26
2167,0.03
2168,0.22
2169,0.37
2170,0.44
2171,0.55
2172,-0.21
2173,0.77
2174,0.14
2175,0.55
2176,0.39
2177,0.17
2178,-0.08
2179,0.14
2180,1.26
2181,0.09
2182,-0.02
2183,-0.15
2184,-0.31
2185,-0.38
2186,-0.48
2187,0.43
2188,0.61
2189,-0.53
2190,0.03
2191,0.14
2192,0.36
2193,0.24
2194,0.13
2195,0.14
2196,-0.18
2197,-0.15
2198,-0.51
2199,-0.17
2200,-0.37
2201,-0.25
2202,-0.42
2203,-0.09
2204,-0.48
2205,-0.48
2206,-0.21
2207,-0.69
2208,-0.43
2209,-0.65
2210,-0.66
2211,0
2212,-0.23
2213,-0.76
2214,-0.62
2215,-0.01
2216,0.27
2217,0.93
2218,-0.16
2219,0.28
2220,0.08
2221,0.58
2222,0.17
2223,0.25
2224,-0.43
2225,0.47
2226,-0.05
2227,0.03
2228,0.17
2229,0
2230,0.93
2231,0.88
2232,0.23
2233,0.53
2234,-0.03
2235,-0.24
2236,0.25
2237,0.11
2238,-0.16
2239,0.42
2240,0.91
2241,0.36
2242,-0.43
2243,0.36
2244,0.22
2245,0.96
2246,1.02
2247,0.47
2248,-0.24
2249,0.03
2250,0.85
2251,0.25
2252,-0.02
2253,0.5
2254,0.06
2255,1.24
2256,1.15
2257,1.09
2258,1.02
2259,2.22
2260,0.91
2261,1.07
2262,2
2263,0.91
2264,1.78
2265,0.42
2266,3.01
2267,0.03
2268,1.56
2269,0.31
2270,0.58
2271,1.02
2272,1.21
2273,1.7
2274,0.93
2275,0.91
2276,1.91
2277,2.05
2278,0.93
2279,0.63
2280,1.32
2281,0.74
2282,1.59
2283,2.36
2284,2.49
2285,3.37
2286,2.38
2287,0.31
2288,0.64
2289,0.41
2290,1.04
2291,0.53
2292,0.6
2293,1.18
2294,1.89
2295,0.79
2296,0.27
2297,0.14
2298,0.76
2299,0.08
2300,0.05
2301,0.06
2302,-0.3
2303,0.05
2304,-0.44
2305,-0.24
2306,-0.27
2307,0.11
2308,-0.19
2309,-0.01
2310,-0.22
2311,-0.25
2312,-0.62
2313,-0.32
2314,-0.52
2315,-0.32
2316,-0.52
2317,-0.53
2318,-0.34
2319,-0.38
2320,-0.77
2321,-0.73
2322,-0.56
2323,-0.43
2324,-0.46
2325,-0.52
2326,-0.65
2327,-0.4
2328,-0.53
2329,-0.59
2330,-0.74
2331,-0.71
2332,-0.78
2333,-0.44
2334,-0.52
2335,-0.5
2336,-0.5
2337,-0.39
2338,-0.08
2339,0.22
2340,-0.61
2341,-0.25
2342,0.33
2343,0.19
2344,0.23
2345,0.02
2346,-0.1
2347,-0.04
2348,-0.03
2349,0.01
2350,-0.11
2351,-0.18
2352,0.03
2353,-0.14
2354,0.08
2355,-0.12
2356,0.14
2357,0.27
2358,0.3
2359,0.17
2360,0.27
2361,0.13
2362,0.3
2363,0.05
2364,0.07
2365,0
2366,0.5
2367,-0.34
2368,-0.09
2369,-0.43
2370,0.06
2371,0.41
2372,0.15
2373,0.24
2374,0.27
2375,-0.09
2376,0.41
2377,0.4
2378,-0.33
2379,-0.41
2380,-0.27
2381,-0.2
2382,0.73
2383,0.58
2384,0.8
2385,0.4
2386,-0.01
2387,-0.43
2388,-0.23
2389,-0.26
2390,0.73
2391,0.65
2392,0.88
2393,0.01
2394,0.51
2395,1.21
2396,0.93
2397,1.19
2398,0.35
2399,1.86
2400,0.37
2401,1.63
2402,2.38
2403,2.21
2404,3.72
2405,3.95
2406,4.55
2407,3.89
2408,3.8
2409,2.78
2410,4.02
2411,4.13
2412,4.47
2413,3.58
2414,3.05
2415,4.27
2416,4.49
2417,4.69
2418,6.69
2419,2.32
2420,2.21
2421,1.36
2422,1.28
2423,1.32
2424,0.64
2425,1.48
2426,1.51
2427,2.15
2428,2.12
2429,1.05
2430,2.81
2431,1.37
2432,1.25
2433,0.95
2434,2.19
2435,0.8
2436,1.52
2437,1.32
2438,2.05
2439,0.87
2440,2.06
2441,1.59
2442,1.72
2443,1.49
2444,1.26
2445,1.12
2446,1.35
2447,1.07
2448,0.17
2449,1.46
2450,0.27
2451,1.3
2452,0.4
2453,0.6
2454,0.13
2455,0.25
2456,0.41
2457,1.12
2458,0.43
2459,0.18
2460,-0.19
2461,0.07
2462,0.02
2463,0.37
2464,-0.05
2465,0.4
2466,0.1
2467,0.49
2468,0.13
2469,0.12
2470,-0.05
2471,-0.14
2472,-0.25
2473,-0.39
2474,-0.61
2475,-0.4
2476,-0.32
2477,-0.05
2478,-0.38
2479,-0.21
2480,-0.29
2481,-0.13
2482,-0.38
2483,-0.57
2484,-0.23
2485,-0.55
2486,-0.74
2487,-0.6
2488,-0.36
2489,-0.48
2490,-0.78
2491,-0.52
2492,-0.33
2493,-0.06
2494,-0.54
2495,-0.77
2496,-0.43
2497,-0.53
2498,-0.69
2499,-0.7
2500,-0.56
2501,-0.68
2502,-0.51
2503,-0.61
2504,-0.95
2505,-0.52
2506,-0.84
2507,-0.79
2508,-0.56
2509,-0.45
2510,-0.48
2511,-0.69
2512,-0.44
2513,-0.43
2514,-0.55
2515,-0.91
2516,-0.96
2517,-0.81
2518,-0.84
2519,-1.02
2520,-0.95
2521,-0.75
2522,-0.76
2523,-0.81
2524,-0.87
2525,-0.76
2526,-0.7
2527,-0.66
2528,-0.69
2529,-0.88
2530,-0.59
2531,-0.86
2532,-0.78
2533,-0.76
2534,-0.68
2535,-0.59
2536,-0.9
2537,-0.53
2538,-0.61
2539,-0.95
2540,-0.89
2541,-0.56
2542,-0.53
2543,-0.98
2544,-0.65
2545,-0.61
2546,-0.49
2547,-0.71
2548,-0.46
2549,-0.74
2550,-0.59
2551,-0.67
2552,-0.84
2553,-0.48
2554,-0.41
2555,-0.42
2556,-0.31
2557,-0.59
2558,-0.54
2559,-0.7
2560,-0.58
2561,-0.88
2562,-0.58
2563,-0.68
2564,-0.66
2565,-0.4
2566,-0.51
2567,-0.5
2568,-0.24
2569,-0.31
2570,-0.44
2571,-0.33
2572,0.55
2573,0.17
2574,-0.42
2575,0.06
2576,0.04
2577,0.47
2578,-0.89
2579,-0.62
2580,-0.68
2581,-0.96
2582,-0.28
2583,-0.64
2584,-1.02
2585,-0.48
2586,-0.48
2587,-0.74
2588,-0.19
2589,-0.47
2590,-0.57
2591,-0.93
2592,-0.5
2593,-0.22
2594,-0.77
2595,-0.44
2596,-0.32
2597,-0.45
2598,-0.6
2599,-0.27
2600,-0.22
2601,-0.15
2602,0.18
2603,0.33
2604,-0.38
2605,-0.2
2606,-0.16
2607,0.07
2608,0.09
2609,-0.07
2610,-0.31
2611,-0.22
2612,-0.27
2613,0.01
2614,0.13
2615,-0.05
2616,0.03
2617,0.07
2618,0.37
2619,0.65
2620,0.57
2621,0.49
2622,-0.06
2623,0
2624,0.56
2625,0.2
2626,0.59
2627,-0.01
2628,0.05
2629,0.43
2630,0.17
2631,1.43
2632,1.01
2633,0.22
2634,-0.11
2635,0.46
2636,0.95
2637,0.92
2638,0.24
2639,0.29
2640,0.76
2641,1.17
2642,1.51
2643,0.95
2644,2.15
2645,0.53
2646,0.65
2647,0.57
2648,0.38
2649,0.88
2650,0.24
2651,0.35
2652,0.45
2653,1.29
2654,1.11
2655,1.67
2656,0.15
2657,0.34
2658,0.35
2659,1.31
2660,1.05
2661,0.65
2662,0.49
2663,0.55
2664,0.22
2665,0.81
2666,1.01
2667,0.75
2668,0.81
2669,-0.13
2670,-0.11
2671,-0.32
2672,0.37
2673,0.04
2674,0.12
2675,0.01
2676,0.59
2677,0.11
2678,-0.09
2679,-0.16
2680,0.31
2681,0.16
2682,0.08
2683,-0.24
2684,0.01
2685,-0.13
2686,-0.19
2687,-0.45
2688,-0.36
2689,0.09
2690,0.67
2691,-0.09
2692,0.05
2693,-0.09
2694,-0.13
2695,0.03
2696,-0.21
2697,-0.52
2698,-0.23
2699,-0.4
2700,-0.42
2701,0.01
2702,-0.45
2703,-0.04
2704,-0.08
2705,-0.21
2706,0.16
2707,-0.29
2708,1.31
2709,0.74
2710,0.05
2711,0.18
2712,-0.02
2713,0.41
2714,0.18
2715,0.61
2716,0.39
2717,-0.3
2718,-0.77
2719,-0.85
2720,-0.63
2721,-0.82
2722,-0.67
2723,-0.53
2724,-0.75
2725,-0.58
2726,-0.23
2727,0.33
2728,0.21
2729,-0.46
2730,-0.72
2731,-0.59
2732,-0.6
2733,-0.55
2734,-0.78
2735,-0.55
2736,-0.51
2737,-0.12
2738,-0.7
2739,-0.46
2740,-0.39
2741,-0.54
2742,0.3
2743,-0.06
2744,0.01
2745,0.03
2746,-0.21
2747,0.69
2748,0.39
2749,2.52
2750,0.61
2751,0.5
2752,0.85
2753,0.44
2754,0.44
2755,1.35
2756,1.65
2757,0.6
2758,0.85
2759,1.35
2760,-0.08
2761,0.03
2762,0.39
2763,-0.32
2764,-0.1
2765,0.82
2766,1.18
2767,0.2
2768,-0.13
2769,-0.76
2770,-0.66
2771,-0.75
2772,-0.58
2773,-0.74
2774,-0.37
2775,-0.43
2776,-0.13
2777,-0.46
2778,-0.55
2779,0.17
2780,0.06
2781,-0.46
2782,-0.84
2783,-0.76
2784,-0.49
2785,-0.73
2786,-0.35
2787,-0.08
2788,-0.46
2789,-0.27
2790,-0.11
2791,-0.16
2792,-0.57
2793,-0.24
2794,-0.79
2795,-0.16
2796,-0.24
2797,0.88
2798,1.04
2799,1.03
2800,1.1
2801,0.1
2802,-0.04
2803,0.07
2804,-0.24
2805,-0.29
2806,-0.11
2807,-0.14
2808,-0.51
2809,-0.35
2810,-0.24
2811,-0.27
2812,-0.43
2813,-0.24
2814,-0.29
2815,0.91
2816,-0.22
2817,0.08
2818,-0.34
2819,-0.57
2820,-0.88
2821,-0.43
2822,-0.78
2823,-0.93
2824,-0.81
2825,-0.69
2826,-0.93
2827,-0.59
2828,-0.25
2829,-0.32
2830,-0.64
2831,-1
2832,-0.43
2833,-0.19
2834,-0.45
2835,-0.52
2836,-0.62
2837,-0.79
2838,-0.67
2839,-0.68
2840,-0.62
2841,-0.19
2842,0.52
2843,-0.82
2844,1.02
2845,-0.05
2846,0.42
2847,0.11
2848,-0.11
2849,-0.12
2850,-0.18
2851,1.19
2852,-0.24
2853,0.5
2854,0.21
2855,1.02
2856,1.18
2857,0.17
2858,0.23
2859,-0.4
2860,-0.29
2861,-0.73
2862,0.14
2863,-0.54
2864,-0.37
2865,-0.13
2866,-0.49
2867,-0.53
2868,-0.3
2869,-0.4
2870,-0.12
2871,-0.18
2872,-0.41
2873,-0.63
2874,-0.28
2875,0.53
2876,-0.08
2877,-0.38
2878,-0.24
2879,-0.57
2880,-0.3
2881,-0.55
2882,-0.16
2883,-0.59
2884,0.24
2885,-0.1
2886,0.24
2887,-0.5
2888,-0.02
2889,-0.1
2890,-0.45
2891,0.6
2892,0.11
2893,-0.35
2894,-0.48
2895,-0.23
2896,-0.81
2897,-0.46
2898,-0.39
2899,-0.32
2900,-0.36
2901,-0.27
2902,-0.18
2903,0.94
2904,1.24
2905,0.32
2906,0.15
2907,-0.41
2908,0.1
2909,0.06
2910,0.21
2911,-0.03
2912,-0.13
2913,-0.08
2914,0.07
2915,0.23
2916,-0.36
2917,0.7
2918,0.85
2919,0.64
2920,1.75
2921,1.37
2922,-0.12
2923,0.25
2924,0.04
2925,0.55
2926,-0.03
2927,-0.62
2928,0.46
2929,0.05
2930,0.7
2931,0.06
2932,0.48
2933,-0.06
2934,-0.06
2935,-0.27
2936,-0.03
2937,-0.56
2938,-0.19
2939,0.23
2940,-0.11
