"","yearBP","vssi","Century","vssi_agg"
"517",-4636,12.13,NA,NA
"518",-4645,2.05,NA,NA
"519",-4663,1.15,NA,NA
"520",-4669,2.22,NA,NA
"521",-4673,8.68,NA,NA
"522",-4686,4.41,NA,NA
"523",-4695,2.6,NA,NA
"524",-4711,0.41,NA,NA
"525",-4717,7.05,NA,NA
"526",-4748,0.55,NA,NA
"527",-4783,4.84,NA,NA
"528",-4794,0.56,NA,NA
"529",-4800,0.4,NA,NA
"530",-4804,0.18,NA,NA
"531",-4808,5.83,NA,NA
"532",-4814,0.22,NA,NA
"533",-4824,5.18,NA,NA
"534",-4837,1.17,NA,NA
"535",-4841,1.4,NA,NA
"536",-4848,0.74,NA,NA
"537",-4854,0.19,NA,NA
"538",-4864,55.06,NA,NA
"539",-4869,5.72,NA,NA
"540",-4874,4.45,NA,NA
"541",-4880,0.47,NA,NA
"542",-4945,1.16,NA,NA
"543",-4950,0.19,NA,NA
"544",-4953,0.18,NA,NA
"545",-4965,1.28,NA,NA
"546",-4968,1.26,NA,NA
"547",-5007,1.65,NA,NA
"548",-5021,0.34,NA,NA
"549",-5025,2.57,NA,NA
"550",-5045,0.28,NA,NA
"551",-5048,0.35,NA,NA
"552",-5048,0.36,NA,NA
"553",-5052,0.59,NA,NA
"554",-5054,10.25,NA,NA
"555",-5056,0.33,NA,NA
"556",-5059,3.88,NA,NA
"557",-5060,0.54,NA,NA
"558",-5062,0.36,NA,NA
"559",-5065,0.43,NA,NA
"560",-5066,0.77,NA,NA
"561",-5069,1.1,NA,NA
"562",-5071,20.28,NA,NA
"563",-5074,0.69,NA,NA
"564",-5076,1.25,NA,NA
"565",-5078,14.75,NA,NA
"566",-5080,1.45,NA,NA
"567",-5084,1.45,NA,NA
"568",-5086,0.77,NA,NA
"569",-5088,1.27,NA,NA
"570",-5091,1.19,NA,NA
"571",-5092,0.97,NA,NA
"572",-5095,0.43,NA,NA
"573",-5097,0.35,NA,NA
"574",-5099,0.41,NA,NA
"575",-5103,39.6,NA,NA
"576",-5104,0.24,NA,NA
"577",-5106,0.29,NA,NA
"578",-5108,0.6,NA,NA
"579",-5111,0.45,NA,NA
"580",-5130,11.54,NA,NA
"581",-5136,2.08,NA,NA
"582",-5145,4.84,NA,NA
"583",-5158,11.57,NA,NA
"584",-5162,0.23,NA,NA
"585",-5187,0.3,NA,NA
"586",-5191,0.38,NA,NA
"587",-5224,0.85,NA,NA
"588",-5226,0.21,NA,NA
"589",-5235,8.58,NA,NA
"590",-5238,0.61,NA,NA
"591",-5243,11.28,NA,NA
"592",-5269,1.91,NA,NA
"593",-5282,1.3,NA,NA
"594",-5291,2.86,NA,NA
"595",-5295,0.49,NA,NA
"596",-5304,3.83,NA,NA
"597",-5308,1.69,NA,NA
"598",-5318,0.32,NA,NA
"599",-5326,0.46,NA,NA
"600",-5341,1.57,NA,NA
"601",-5349,2.6,NA,NA
"602",-5363,1.24,NA,NA
"603",-5374,2.38,NA,NA
"604",-5387,5.76,NA,NA
"605",-5396,0.51,NA,NA
"606",-5403,17.8,NA,NA
"607",-5411,7.29,NA,NA
"608",-5422,8.49,NA,NA
"609",-5433,0.35,NA,NA
"610",-5462,1.59,NA,NA
"611",-5466,0.27,NA,NA
"612",-5470,17.19,NA,NA
"613",-5474,0.27,NA,NA
"614",-5479,0.18,NA,NA
"615",-5506,0.19,NA,NA
"616",-5510,0.34,NA,NA
"617",-5536,7.3,NA,NA
"618",-5559,1.31,NA,NA
"619",-5573,2.57,NA,NA
"620",-5584,0.93,NA,NA
"621",-5602,1.42,NA,NA
"622",-5607,4.59,NA,NA
"623",-5613,4.68,NA,NA
"624",-5618,12.66,NA,NA
"625",-5623,1.11,NA,NA
"626",-5643,7.28,NA,NA
"627",-5658,7.65,NA,NA
"628",-5666,1.63,NA,NA
"629",-5679,7.31,NA,NA
"630",-5689,0.71,NA,NA
"631",-5692,0.19,NA,NA
"632",-5698,7.3,NA,NA
"633",-5702,0.39,NA,NA
"634",-5732,0.2,NA,NA
"635",-5734,0.51,NA,NA
"636",-5763,5.73,NA,NA
"637",-5773,6.18,NA,NA
"638",-5787,15.89,NA,NA
"639",-5794,0.16,NA,NA
"640",-5805,15.86,NA,NA
"641",-5828,1.53,NA,NA
"642",-5833,1.37,NA,NA
"643",-5837,6.7,NA,NA
"644",-5857,12.01,NA,NA
"645",-5869,1.69,NA,NA
"646",-5892,29.1,NA,NA
"647",-5896,0.52,NA,NA
"648",-5902,2.22,NA,NA
"649",-5917,26.91,NA,NA
"650",-5922,24.22,NA,NA
"651",-5931,2.17,NA,NA
"652",-5944,5.71,NA,NA
"653",-5948,0.96,NA,NA
"654",-5958,3.01,NA,NA
"655",-5972,1.01,NA,NA
"656",-5979,16.57,NA,NA
"657",-6004,1.86,NA,NA
"658",-6057,1.24,NA,NA
"659",-6063,0.65,NA,NA
"660",-6072,1.32,NA,NA
"661",-6101,3.76,NA,NA
"662",-6110,1.28,NA,NA
"663",-6116,1.33,NA,NA
"664",-6123,6.27,NA,NA
"665",-6128,1.27,NA,NA
"666",-6136,0.37,NA,NA
"667",-6141,2.55,NA,NA
"668",-6145,6.5,NA,NA
"669",-6153,3.42,NA,NA
"670",-6167,0.76,NA,NA
"671",-6191,1.5,NA,NA
"672",-6198,0.69,NA,NA
"673",-6204,2.85,NA,NA
"674",-6209,0.31,NA,NA
"675",-6211,0.21,NA,NA
"676",-6213,0.14,NA,NA
"677",-6215,0.28,NA,NA
"678",-6218,3.94,NA,NA
"679",-6222,6.72,NA,NA
"680",-6226,2.43,NA,NA
"681",-6228,0.42,NA,NA
"682",-6240,1.29,NA,NA
"683",-6272,12.25,NA,NA
"684",-6282,4.83,NA,NA
"685",-6286,53.16,NA,NA
"686",-6299,2.45,NA,NA
"687",-6310,0.87,NA,NA
"688",-6315,21.24,NA,NA
"689",-6329,83.71,NA,NA
"690",-6340,6.4,NA,NA
"691",-6345,0.2,NA,NA
"692",-6348,1.07,NA,NA
"693",-6360,1.59,NA,NA
"694",-6366,0.18,NA,NA
"695",-6375,3.97,NA,NA
"696",-6382,0.19,NA,NA
"697",-6385,0.2,NA,NA
"698",-6403,3.99,NA,NA
"699",-6415,2.72,NA,NA
"700",-6422,2.34,NA,NA
"701",-6427,2.81,NA,NA
"702",-6441,3.31,NA,NA
"703",-6444,6.1,NA,NA
"704",-6453,24.39,NA,NA
"705",-6456,0.21,NA,NA
"706",-6461,0.19,NA,NA
"707",-6480,0.21,NA,NA
"708",-6486,63.22,NA,NA
"709",-6488,0.26,NA,NA
"710",-6494,0.22,NA,NA
"711",-6504,6.25,NA,NA
"712",-6517,13.84,NA,NA
"713",-6524,3.12,NA,NA
"714",-6528,4.8,NA,NA
"715",-6548,6.41,NA,NA
"716",-6550,0.8,NA,NA
"717",-6555,49.45,NA,NA
"718",-6566,3.79,NA,NA
"719",-6572,1.06,NA,NA
"720",-6579,8.26,NA,NA
"721",-6585,1.08,NA,NA
"722",-6605,0.99,NA,NA
"723",-6616,5.18,NA,NA
"724",-6623,4.81,NA,NA
"725",-6632,2.05,NA,NA
"726",-6638,5.9,NA,NA
"727",-6644,3.53,NA,NA
"728",-6656,11.86,NA,NA
"729",-6666,34.35,NA,NA
"730",-6676,2.93,NA,NA
"731",-6691,1.22,NA,NA
"732",-6695,23.53,NA,NA
"733",-6710,0.63,NA,NA
"734",-6725,6.36,NA,NA
"735",-6738,0.19,NA,NA
"736",-6743,7.05,NA,NA
"737",-6784,2.41,NA,NA
"738",-6797,0.18,NA,NA
"739",-6804,10.85,NA,NA
"740",-6807,1.12,NA,NA
"741",-6828,3.17,NA,NA
"742",-6838,7.71,NA,NA
"743",-6856,1.89,NA,NA
"744",-6868,6.1,NA,NA
"745",-6890,22.86,NA,NA
"746",-6896,14.21,NA,NA
"747",-6915,2.32,NA,NA
"748",-6939,3.39,NA,NA
"749",-6958,2.94,NA,NA
"750",-6964,12.26,NA,NA
"751",-6969,0.19,NA,NA
"752",-6973,0.39,NA,NA
"753",-6977,1.64,NA,NA
"754",-6993,1.35,NA,NA
"755",-7005,2.29,NA,NA
"756",-7017,0.17,NA,NA
"757",-7030,3.33,NA,NA
"758",-7046,0.72,NA,NA
"759",-7057,11.57,NA,NA
"760",-7080,2.47,NA,NA
"761",-7087,0.24,NA,NA
"762",-7089,0.28,NA,NA
"763",-7092,0.45,NA,NA
"764",-7094,6.62,NA,NA
"765",-7096,0.17,NA,NA
"766",-7098,0.17,NA,NA
"767",-7103,5.44,NA,NA
"768",-7107,0.22,NA,NA
"769",-7112,6.76,NA,NA
"770",-7119,2.24,NA,NA
