Cal_yr_BP,TSI
-205,1361.26
-195,1361.22
-185,1361.21
-175,1361.14
-165,1361.07
-155,1361.05
-145,1361.09
-135,1361.19
-125,1361.27
-115,1361.24
-105,1361.18
-95,1361.18
-85,1361.23
-75,1361.27
-65,1361.22
-55,1361.15
-45,1361.15
-35,1361.2
-25,1361.22
-15,1361.18
-5,1361.2
5,1361.2
15,1361.21
25,1361.09
35,1361.01
45,1360.94
55,1360.91
65,1361.01
75,1360.99
85,1360.91
95,1360.89
105,1360.85
115,1360.87
125,1360.94
135,1361.05
145,1361.14
155,1361.15
165,1361.17
175,1361.19
185,1361.24
195,1361.28
205,1361.25
215,1361.15
225,1361.07
235,1360.96
245,1360.82
255,1360.76
265,1360.81
275,1360.99
285,1361.22
295,1361.44
305,1361.55
315,1361.43
325,1361.26
335,1361.15
345,1361.15
355,1361.19
365,1361.23
375,1361.18
385,1361.1
395,1361.02
405,1360.95
415,1360.88
425,1360.84
435,1360.86
445,1360.93
455,1361
465,1361
475,1361.05
485,1361.19
495,1361.29
505,1361.33
515,1361.3
525,1361.22
535,1361.09
545,1361.04
555,1361.01
565,1360.9
575,1360.87
585,1360.87
595,1360.84
605,1360.84
615,1360.9
625,1360.95
635,1360.92
645,1360.77
655,1360.58
665,1360.48
675,1360.5
685,1360.6
695,1360.71
705,1360.75
715,1360.82
725,1360.88
735,1361.03
745,1361.27
755,1361.21
765,1361.06
775,1361
785,1360.96
795,1361.12
805,1361.16
815,1361.16
825,1361.16
835,1361.22
845,1361.26
855,1361.15
865,1361.1
875,1361
885,1360.86
895,1360.75
905,1360.83
915,1361.03
925,1361.21
935,1361.22
945,1361.27
955,1361.23
965,1361.07
975,1360.89
985,1360.89
995,1360.96
1005,1360.82
1015,1360.75
1025,1360.57
1035,1360.46
1045,1360.46
1055,1360.56
1065,1360.71
1075,1360.89
1085,1361.04
1095,1361.12
1105,1361.1
1115,1361.02
1125,1361.01
1135,1361.09
1145,1361.04
1155,1360.91
1165,1360.91
1175,1360.93
1185,1360.91
1195,1360.97
1205,1361.02
1215,1360.92
1225,1360.88
1235,1360.88
1245,1360.95
1255,1360.95
1265,1360.68
1275,1360.49
1285,1360.45
1295,1360.44
1305,1360.41
1315,1360.4
1325,1360.45
1335,1360.58
1345,1360.82
1355,1361.06
1365,1361.18
1375,1361
1385,1360.74
1395,1360.68
1405,1360.59
1415,1360.48
1425,1360.42
1435,1360.3
1445,1360.11
1455,1360.19
1465,1360.33
1475,1360.39
1485,1360.43
1495,1360.46
1505,1360.41
1515,1360.37
1525,1360.37
1535,1360.52
1545,1360.68
1555,1360.77
1565,1360.81
1575,1360.85
1585,1360.93
1595,1361.04
1605,1361.05
1615,1360.99
1625,1360.88
1635,1360.72
1645,1360.63
1655,1360.58
1665,1360.42
1675,1360.36
1685,1360.31
1695,1360.26
1705,1360.44
1715,1360.61
1725,1360.93
1735,1361.16
1745,1361.13
1755,1360.98
1765,1361.11
1775,1361.3
1785,1361.35
1795,1360.9
1805,1360.61
1815,1360.61
1825,1360.88
1835,1361.06
1845,1361.03
1855,1361.08
1865,1361.06
1875,1360.99
1885,1360.79
